english,treeform
mother/mom,ma
father/dad,pa
I,mi
you,ti
we,we
someone,lu
something/thing,ko
people,le
person/human,li
living,lya
dead,lay
body,bo
type/kind,ke
part,ra
this,te
the same,im
other/else/another,ot
some,ri
all,ro
many/much,jo
few/little,no
think,gi
or,i
and,o
yes,ja
not,na
water,wa
good,ji
bad,ni
know,ga
want,ku
feel,ba
see,bio
look (asking someone),bi
hear,be
taste,bq
touch,bu
say,kio
words,bot
true,gio
false,goi
time,da
now,do
do,nai
happen,di
move,tu
place,pi
here,pen
there (location),nep
be (somewhere),pya
there is/exists,ao
be something,kq
be someone,lq
mine,mya
when,dq
before,dui
after,duo
moment,dya
what,ok
why,ak
how,ek
who,uk
where,yk
which,qk
up,up
down,pu
left,op
right,po
front,pe
back,ep
above,qp
below,pq
quantity/amount,rq
distance/length,par
side,py
inside,pon
ouside,nop
if,ik
then,ki
maybe,fi
can,za
because,jau
not because,nau
very,fo
more,ju
less,nu
like/way,ka
girl/women,tia
boy/man,koi
apple,ap
animal,lo
size,in
big,a
small,u
horizontal size,by
wide (horizontally),byo
narrow (horizontally),bya
vertical size,fy
tall,fyo
short,fya
front/back size,wy
deep (front/back),wyo
not deep (front/back),wya
thin,av
thick,va
tight,tiv
heavy,yt
light,ty
toward,to
kitten,aro
cat,ora
puppy,iro
dog,ori
bye,bai
hello,kai
child,ono
husband,onv
wife,vno
feather,uas
wing,liw
equals/is,je
is not/not equals,ne
learn,go
sky,st
food,fe
eat,fey
has/possess/own,ya
with,yn
without,ny
from,an
make/create,ig
give,ui
take,oi
one/1,tq
two/2,mq
three/3,vq
four/4,gq
five/5,nq
six/6,sq
seven/7,wq
eight/8,fq
nine/9,zq
zero/0,q
magnitude operator,eo
cold,dy
warm/hot,yd

,yr
,ry
,wuk
,kuw
,tyu
,oz
,el
,sk
,af
,uq
,oj
,yo
,ala
,olo
,ele
,fla
,flo
,fli
