english,whorlform
mother/mom,ma
father/dad,pa
I,mi
you,ti
we,we
someone,lu
something/thing,ko
people,le
person/human,li
living,lya
dead,lay
body,bo
type/kind,ke
part,ra
this,te
the same,im
other/else/another,ot
some,ri
all,ro
many/much,jo
few/little,no
think,gi
or,i
and,o
yes,ja
not,na
water,wa
good,ji
bad,ni
know,ga
want,ku
feel,ba
see,bi
hear,be
taste,bq
touch,bu
say,kio
words,bot
true,gio
false,goi
time,da
now,do
do,nai
happen,ny
move,tu
place,pi
be (somewhere),pya
there is,eo
be something,kq
be someone,lq
mine,mya
when,dq
before,dui
after,duo
moment,dya
what,ok
why,ak
up,up
down,pu
left,op
right,po
front,pe
back,ep
above,qp
below,pq
quantity/amount,rq
distance/length,par
side,py
inside,pon
ouside,nop
if,ik
then,ki
maybe,fi
can,za
because,jau
very,fo
more,ju
less,nu
like/way,ka
girl/women,tia
boy/man,koi
apple,ap
animal,lo
size,in
big,a
small,u
horizontal size,by
wide (horizontally),byo
narrow (horizontally),bya
vertical size,fy
tall,fyo
short,fya
front/back size,wy
deep (front/back),wyo
not deep (front/back),wya
thin,av
thick,va
tight,tiv
heavy,yt
light,ty
kitten,aro
cat,ora
puppy,iro
dog,ori
bye,bai
child,ono
husband,onv
wife,vno
feather,uas
wing,liw
equals/is,je
is not/not equals,ne

,fe
,yr
,ry
,wq
,ui
,di
,wuk
,kuw
,tyu
,st
